Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0.0,0.0,1.5885375914587136,314.3836404397848,216.0576156269845,3366.2099854531225
1.0,0.0,0.0,318.5506694860234,217.53583624156212,3365.457673999177
2.0,0.0,0.06465085455932572,317.2509663502519,219.16645687090642,3362.020032044957
3.0,0.0,0.0,315.8817373260098,217.22884041500612,3365.336310492118
4.0,0.0,0.0,317.1697726781858,215.92400177579046,3358.6673659850303
5.0,0.0,0.9492094907463793,316.59875720340665,217.43468623063578,3362.9101531063056
6.0,0.0,0.6717262582577634,316.7478981447586,217.64938497334134,3366.0857646260056
7.0,0.0,0.2728934466213992,316.272970295032,216.7797258880786,3362.717127534658
8.0,0.0,0.0,318.59966402940944,218.045668452979,3357.6606557628756
9.0,0.0,0.0,317.12039919640523,217.7974363933258,3359.009146303548
10.0,0.0,0.7853006621405154,316.9226507008221,216.03900721043928,3357.7754832982337
11.0,0.0,0.6102076641329973,315.27076910922165,217.53125502388127,3359.1301188596403
12.0,0.0,0.46481546199920265,315.6077690232215,217.9832745758868,3361.250283415682
13.0,0.0,0.44343710479217124,317.38226217423414,216.46888299299275,3363.229416818533
14.0,0.0,0.9975084199230925,318.5032549460867,216.2474508623685,3359.280953106565
15.0,20.0,13.120871810141324,311.78473488004283,213.42217542150115,3333.4368089038435
16.0,20.0,21.659945318902516,305.69818144141306,210.08723858765137,3307.1328095199246
17.0,20.0,29.988945567047075,300.7255733443718,207.5055386684516,3289.3500013754347
18.0,20.0,38.05426602403705,297.28395649871936,206.080154871848,3276.1636943761773
19.0,20.0,42.994993877873064,294.39595063250965,203.05094507085508,3257.512350891256
20.0,20.0,49.17740450813927,294.995662675828,203.13384584876061,3250.3919063094263
21.0,20.0,51.492851380097676,292.3027242130041,200.72276938905645,3241.8152922124323
22.0,20.0,55.21832726159459,289.17610272915783,200.54348682589332,3234.722414598392
23.0,20.0,57.75816136863148,290.6517449557935,200.16360077392943,3228.1961287486683
24.0,20.0,59.42377912985656,287.41966343842824,199.4447495550848,3223.572481639165
25.0,20.0,62.127183418391084,287.33648526018425,198.60933442763945,3218.441320026692
26.0,20.0,63.38043674336374,288.3102685431873,198.74277975822253,3212.681754101703
27.0,20.0,63.551979340647335,286.53064556632694,198.04738400883463,3212.499234614236
28.0,20.0,65.63708146184815,285.398885251858,198.63321977763778,3210.382118446018
29.0,20.0,64.95171988681653,283.69600270876487,196.49066330174483,3207.585929960404
30.0,50.0,77.92718081899918,277.0737169069423,192.13819387547053,3172.6969166868384
31.0,50.0,86.92913629441874,268.6254622956525,188.85242525662136,3137.186017438021
32.0,50.0,96.1743387462324,265.4803803308119,184.35292177939002,3114.711484552993
33.0,50.0,102.38534517661515,259.5889348605291,182.644832472365,3093.652468346201
34.0,50.0,107.0542158350853,256.11001929438106,180.48776804302452,3072.218580059414
35.0,50.0,111.04291177643609,252.65609921840476,178.53775089817904,3063.070322788446
36.0,50.0,115.15079529620235,248.92855994508818,177.64963448125303,3047.6978780046443
37.0,50.0,116.68911990240846,247.53364290734288,175.83922316459112,3035.715039237382
38.0,50.0,118.08861248640865,246.2090710851238,173.3731703292443,3027.8680357030216
39.0,50.0,121.14151030413241,245.46453282086236,172.99185086494515,3024.168243557535
40.0,50.0,123.50424263433679,242.16489105993526,171.99440807505857,3016.883257101615
41.0,50.0,124.59685930986062,243.673123682321,172.93788841609006,3015.4043524876397
42.0,50.0,126.03126511136327,241.59338036223758,170.88555909297483,3007.304748963506
43.0,50.0,126.6077837674488,240.37025238920074,172.7091296957736,3010.4787571742545
44.0,50.0,128.04939319919467,241.54046878540117,171.5085978612783,3004.342100206218
